threshold,precision,recall,f1,f2,fp,fn
0.8266666666666667,1.0,0.2608695652173913,0.41379310344827586,0.30612244897959184,0,68
0.8316161616161616,1.0,0.25,0.4,0.29411764705882354,0,69
0.8365656565656565,1.0,0.25,0.4,0.29411764705882354,0,69
0.8415151515151514,1.0,0.25,0.4,0.29411764705882354,0,69
0.8464646464646465,1.0,0.25,0.4,0.29411764705882354,0,69
0.8514141414141414,1.0,0.2391304347826087,0.38596491228070173,0.28205128205128205,0,70
0.8563636363636363,1.0,0.21739130434782608,0.35714285714285715,0.25773195876288657,0,72
0.8613131313131313,1.0,0.20652173913043478,0.34234234234234234,0.2454780361757106,0,73
0.8662626262626262,1.0,0.18478260869565216,0.3119266055045872,0.22077922077922077,0,75
0.8712121212121212,1.0,0.18478260869565216,0.3119266055045872,0.22077922077922077,0,75
0.8761616161616161,1.0,0.17391304347826086,0.2962962962962963,0.20833333333333334,0,76
0.8811111111111111,1.0,0.17391304347826086,0.2962962962962963,0.20833333333333334,0,76
0.886060606060606,1.0,0.17391304347826086,0.2962962962962963,0.20833333333333334,0,76
0.891010101010101,1.0,0.15217391304347827,0.2641509433962264,0.18324607329842932,0,78
0.895959595959596,1.0,0.15217391304347827,0.2641509433962264,0.18324607329842932,0,78
0.9009090909090909,1.0,0.14130434782608695,0.24761904761904763,0.17060367454068243,0,79
0.9058585858585858,1.0,0.13043478260869565,0.23076923076923078,0.15789473684210525,0,80
0.9108080808080807,1.0,0.09782608695652174,0.1782178217821782,0.11936339522546419,0,83
0.9157575757575758,1.0,0.09782608695652174,0.1782178217821782,0.11936339522546419,0,83
0.9207070707070707,1.0,0.07608695652173914,0.1414141414141414,0.09333333333333334,0,85
0.9256565656565656,1.0,0.07608695652173914,0.1414141414141414,0.09333333333333334,0,85
0.9306060606060605,1.0,0.07608695652173914,0.1414141414141414,0.09333333333333334,0,85
0.9355555555555555,1.0,0.06521739130434782,0.12244897959183673,0.08021390374331551,0,86
0.9405050505050505,1.0,0.05434782608695652,0.10309278350515463,0.06702412868632708,0,87
0.9454545454545454,1.0,0.03260869565217391,0.06315789473684211,0.04043126684636118,0,89
0.9504040404040404,1.0,0.021739130434782608,0.0425531914893617,0.02702702702702703,0,90
0.9553535353535353,1.0,0.021739130434782608,0.0425531914893617,0.02702702702702703,0,90
0.9603030303030302,1.0,0.021739130434782608,0.0425531914893617,0.02702702702702703,0,90
0.9652525252525253,1.0,0.010869565217391304,0.021505376344086023,0.013550135501355014,0,91
0.9702020202020202,1.0,0.010869565217391304,0.021505376344086023,0.013550135501355014,0,91
0.9751515151515151,1.0,0.010869565217391304,0.021505376344086023,0.013550135501355014,0,91
0.98010101010101,0.0,0.0,0.0,0.0,0,92
0.9850505050505051,0.0,0.0,0.0,0.0,0,92
0.99,0.0,0.0,0.0,0.0,0,92
