Feature,P-value,Test,Family,p_bonferroni,p_holm,p_fdr_bh,Sig Bonferroni (p_adj<0.05),Sig Holm (p_adj<0.05),Sig FDR (q<0.05),Multiplicity family
Current drinking,0.868929809834284,Chi-square,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Staged PCI,0.927859712023575,Chi-square,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Proximal,0.9788762756724867,Chi-square,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Lesion location-Ostial,1.0,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Chronic total occlusion,1.0,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Moderate/severe calcification,1.0,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
History of HF,1.0,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Moderate/severe tortuosity,1.0,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Slow flow,1.0,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
TIMI-2,1.0,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Ticagrelor,1.0,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Stent type-SES,3.8480486221745815e-07,Chi-square,categorical,3.155399870183157e-05,2.924516952852682e-05,4.507714100261653e-06,Yes,Yes,Yes,all_association_tests
