Feature,Feature type,Test / method,P-value,p_fdr_bh,Effect,Odds Ratio,Domain,neglog10p,Is time-at-risk,p_fdr_within_domain
Chronic total occlusion,binary,Fisher exact,1.0,1.0,-0.001676902557555037,0.9396518375241779,Anatomy / lesion,-0.0,False,1.0
Moderate/severe calcification,binary,Fisher exact,1.0,1.0,-0.002225286875729492,0.909556735399432,Anatomy / lesion,-0.0,False,1.0
Moderate/severe tortuosity,binary,Fisher exact,1.0,1.0,-0.0008825544218353463,0.9376047681132427,Anatomy / lesion,-0.0,False,1.0
TIMI-2,binary,Fisher exact,1.0,1.0,-0.002154299582818895,0.9231647014073793,Anatomy / lesion,-0.0,False,1.0
LV,continuous,Welch t-test,5.4383309460018465e-17,3.262998567601108e-16,1.1274130867030432,,Cardiac function,16.264534367243353,False,1.0876661892003693e-16
LVEF,continuous,Mann-Whitney U,0.03330140576588231,0.06660281153176462,-0.029340397778766677,,Cardiac function,1.4775374330558613,False,0.03330140576588231
Previous PCI,binary,Fisher exact,1.25052788367341e-05,0.00017820022342346093,0.0849734992375434,6.485469641930462,Comorbidities / history,4.902906620134608,False,0.000125052788367341
Diabetes,binary,Chi-square,0.002769502309228314,0.02255166166085913,0.04155470078687838,1.8892940006629102,Comorbidities / history,2.5575982683996967,False,0.01384751154614157
Stroke/TIA,binary,Chi-square,0.03301329283908383,0.12545051278851854,0.029607166622360095,1.9316076294277928,Comorbidities / history,1.4813111557508054,False,0.11004430946361277
Previous MI,binary,Chi-square,0.12778791286616617,0.3538081914108028,0.021149116737249122,1.66795529626766,Comorbidities / history,0.8935102230460128,False,0.31946978216541544
Chronic renal insufficiency,binary,Fisher exact,0.31467899090474816,0.686413976043714,0.011437305602621356,1.803225806451613,Comorbidities / history,0.5021322511722922,False,0.5419057705608269
Previous CABG,binary,Fisher exact,0.3251434623364961,0.686413976043714,0.012846281136686405,1.608116883116883,Comorbidities / history,0.48792497393265866,False,0.5419057705608269
Hypertension,binary,Chi-square,0.5666751649351782,0.9362315898529602,0.007956940884434693,1.1288298163880515,Comorbidities / history,0.24666582030001394,False,0.8095359499073975
History of peripheral vascualr disease,binary,Fisher exact,0.6698481728455976,1.0,0.004960335546321406,1.293798449612403,Comorbidities / history,0.1740236229222831,False,0.837310216056997
HL,binary,Chi-square,0.8036093917908292,1.0,-0.0034535365775895614,0.9447503101736973,Comorbidities / history,0.09495499629026713,False,0.8928993242120326
History of HF,binary,Fisher exact,1.0,1.0,-0.003924483073805917,0.8161316872427984,Comorbidities / history,-0.0,False,1.0
Men,binary,Chi-square,0.2680570836658024,0.6366355737062807,0.015381127270744047,1.3025699818477119,Demographics / lifestyle,0.5717727116383727,False,0.8352957718840125
Age,continuous,Welch t-test,0.4633458211201912,0.6177944281602549,0.08800855791292181,,Demographics / lifestyle,0.33409474949325235,False,0.8352957718840125
Current smoker,binary,Chi-square,0.6264718289130093,0.9651052499470684,0.006759053022342914,1.1095141700404858,Demographics / lifestyle,0.20309845351692735,False,0.8352957718840125
Current drinking,binary,Chi-square,0.868929809834284,1.0,-0.0022916957212260358,0.9514065634006978,Demographics / lifestyle,0.06101530345099162,False,0.868929809834284
