Feature,logOR,SE,Wald_p,OR,OR_lo,OR_hi,OR_lo_boot,OR_hi_boot,Domain model,n,events,pseudo_R2,LR_vs_null,LR_p
Current drinking,-0.09606655469391434,0.31170026319171323,0.7579288499731995,0.9084035555361729,0.4931273388287144,1.6733953985816012,0.41403635154804946,1.556570942224622,Presentation / ACS,5185,92,0.008053901675912467,7.443394839728853,0.3842166911969634
Initial diagnosis-AMI,0.3510599462677674,0.24939344961608848,0.1592332410332683,1.420572481378145,0.8713232612192039,2.3160476308472777,0.8656764503079585,2.3906776670000434,Presentation / ACS,5185,92,0.008053901675912467,7.443394839728853,0.3842166911969634
NSTEMI,0.2434372176467542,0.273639069403762,0.3736651959881435,1.275626228510104,0.7461075627742817,2.1809486407192367,0.7232193334069237,2.142023643903387,Presentation / ACS,5185,92,0.008053901675912467,7.443394839728853,0.3842166911969634
Cardiogenic shock,0.2943149719817709,0.6024042864118831,0.6251481433223731,1.3422065945666184,0.4121467789386821,4.371060589475438,0.0003587779915198402,3.458512793263441,Presentation / ACS,5185,92,0.008053901675912467,7.443394839728853,0.3842166911969634
Age,0.08376071250461856,0.10902669887913669,0.442333491898246,1.0873686689504412,0.8781589277245222,1.3464198619249963,0.8677247304770285,1.401644273601148,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
NO.of vessels,0.2032849701301331,0.23599794300288804,0.38902631000281773,1.2254216270557508,0.7716204471844231,1.946109864682028,0.7456777422087669,1.9948387888893941,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
Men,0.3124304797733656,0.2506745748737112,0.21263267417548437,1.3667429215932831,0.8362040148070903,2.2338881189852717,0.8660370148222499,2.3636096082385545,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
Current smoker,0.11544940439857299,0.22239305199404225,0.6036747944833389,1.1223777257355976,0.7258347058868402,1.7355628616411298,0.7353068005392562,1.7452438571036637,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
Current drinking,-0.1314392253643218,0.31194741161042094,0.6734990948784975,0.8768325626980631,0.47575849488450517,1.6160202104101047,0.4238064618214771,1.5370867235513028,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
3-vessel disease,0.32887951934145593,0.4782614148015362,0.4916691868397751,1.3894104484173369,0.5441688855842006,3.547540929501674,0.5506827892664151,3.869812441537719,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
TIMI-0,0.5108515553541915,0.21380991083881457,0.016881471515865158,1.6667098865407122,1.0961366161969262,2.534284326282817,1.0818264435943459,2.551076514177935,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
Bifurcation,0.31635749483956693,0.28210324525041264,0.2621072061143518,1.3721206940235977,0.7893426995181785,2.385168318041106,0.6969564570241329,2.271373204870246,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
Vessel dialation,0.5436088970466091,0.7307392181684991,0.4569270459717817,1.7222109424917416,0.4112254590792253,7.212614065966356,0.0002213027065224019,4.957718259310089,Anatomy / lesion,5185,92,0.025033455813520455,23.13585431272702,0.005898310865808116
Age,0.08557729315807043,0.1109824642267901,0.4406545230540516,1.0893457570639413,0.8763897738904498,1.3540484083530027,0.8471235747794892,1.3948198042550675,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
No.of stents per lesion,0.34422831095776746,0.1888445518339617,0.0683317125807002,1.4109007228335912,0.9744323240277791,2.0428723479370143,0.8793338763415198,2.270665028367212,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
Total stent length,0.1570279911437421,0.1937201278199876,0.4175999968544758,1.1700283638746725,0.8003897499900589,1.710374692189956,0.7275735833628166,1.8696613432423361,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
